year,day collected,weight,sfmf,nest size,logface
2012.00,2,0.108,sf,4,0.976
2012.00,2,0.145,sf,4,0.753
2012.00,3,0.089,sf,4,0.267
2011.00,12,0.095,sf,3,0.703
2011.00,27,0.068,sf,3,0.730
2011.00,27,0.121,sf,3,0.195
2012.00,-6,0.061,sf,3,0.286
2012.00,-6,0.067,sf,3,0.728
2012.00,-4,0.066,sf,3,0.000
2012.00,-4,0.088,sf,3,0.823
2012.00,-4,0.109,sf,3,0.760
2012.00,1,0.087,sf,3,0.866
2012.00,2,0.058,sf,3,0.873
2012.00,2,0.095,sf,3,0.541
2012.00,2,0.113,sf,3,0.000
2012.00,3,0.108,sf,3,0.960
2012.00,4,0.077,sf,3,0.917
2012.00,4,0.100,sf,3,0.818
2012.00,4,0.105,sf,3,0.791
2011.00,12,0.126,sf,2,0.000
2011.00,24,0.090,sf,2,0.499
2011.00,27,0.083,sf,2,0.486
2012.00,-6,0.086,sf,2,0.281
2012.00,-4,0.094,sf,2,0.829
2012.00,-4,0.096,sf,1,0.920
